step,loss,lr,grad_norm,logits_max,has_nan,has_inf,time_sec
1,11.034212112426758,0.0003,1.6632462095750091,2.9835915565490723,0,0,1.373471975326538
10,10.919466018676758,0.0003,1.6711100982205054,2.868518590927124,0,0,10.507838010787964
20,10.968063354492188,0.0003,1.7739118959396714,3.1098644733428955,0,0,19.67406725883484
30,11.05615520477295,0.0003,1.6988531158003968,3.0948190689086914,0,0,29.36198902130127
40,11.033337593078613,0.0003,1.6429013156192172,3.2955374717712402,0,0,38.53744888305664
50,10.964241027832031,0.0003,1.644914801101107,3.301436185836792,0,0,47.76203799247742
60,10.784538269042969,0.0003,1.5396080293261483,3.141735315322876,0,0,56.95033097267151
70,10.664551734924316,0.0003,1.4375116883465573,3.31040096282959,0,0,65.96744203567505
80,10.765811920166016,0.0003,1.538425465046011,3.6605284214019775,0,0,75.12166810035706
90,10.755252838134766,0.0003,1.4382403079404023,3.8575146198272705,0,0,83.94857406616211
100,10.66126823425293,0.0003,1.6342077120218357,3.7330353260040283,0,0,92.77951097488403
110,10.599649429321289,0.0003,1.5027165524622144,4.0182785987854,0,0,101.47542595863342
120,10.566621780395508,0.0003,1.748195814141341,4.32135534286499,0,0,110.07086992263794
130,10.458025932312012,0.0003,2.2392742744962226,4.211747646331787,0,0,118.13061594963074
140,10.474554061889648,0.0003,2.0082234147890943,4.59884786605835,0,0,126.14626002311707
150,10.522500038146973,0.0003,2.4563825839925704,4.684961795806885,0,0,134.22530913352966
160,10.475631713867188,0.0003,1.9526850550936083,4.978270530700684,0,0,142.08794689178467
170,10.452733993530273,0.0003,2.7307575540947475,4.7878828048706055,0,0,149.9394280910492
180,10.425804138183594,0.0003,2.4439957121657288,4.645847797393799,0,0,157.76171898841858
190,10.341174125671387,0.0003,2.84260513009003,4.7558088302612305,0,0,165.72500610351562
200,10.453803062438965,0.0003,2.0176892870322902,4.719852924346924,0,0,173.75494599342346
210,10.287726402282715,0.0003,1.9083502806790675,5.1375956535339355,0,0,183.0628800392151
220,10.243406295776367,0.0003,2.135234883168849,5.109359264373779,0,0,191.96219420433044
230,10.262673377990723,0.0003,2.1741277588037553,5.289724826812744,0,0,200.06520009040833
240,10.218892097473145,0.0003,2.410079711655324,5.3848876953125,0,0,208.39749908447266
250,10.271560668945312,0.0003,2.1662572702883405,5.073023319244385,0,0,216.90009117126465
260,10.196917533874512,0.0003,2.5115418241278245,5.952922821044922,0,0,224.87341213226318
270,10.17044448852539,0.0003,2.896266800674482,6.06112813949585,0,0,233.12309503555298
280,10.083627700805664,0.0003,2.6277191835472085,5.616722106933594,0,0,241.86295223236084
290,10.321626663208008,0.0003,2.3889178992845803,5.573243618011475,0,0,250.2494421005249
300,10.194608688354492,0.0003,2.580879143950318,5.85418176651001,0,0,258.9157030582428
1,11.001797676086426,0.0003,1.8323409023197386,2.773620128631592,0,0,0.7977128028869629
10,10.99216079711914,0.0003,1.6771177843789484,2.5660898685455322,0,0,8.24170184135437
20,10.950178146362305,0.0003,1.8841714552052449,2.6917002201080322,0,0,16.427015781402588
30,11.113146781921387,0.0003,1.8558704268323103,2.7367849349975586,0,0,24.121572732925415
40,11.03017520904541,0.0003,1.6335199652181955,3.2909083366394043,0,0,32.10125184059143
50,11.040165901184082,0.0003,1.7404843216449697,3.5214037895202637,0,0,40.7402708530426
60,10.669146537780762,0.0003,1.7098601147864019,2.8347909450531006,0,0,49.39707398414612
70,10.692838668823242,0.0003,1.6098729803524492,3.3050291538238525,0,0,58.012574911117554
1,10.950936317443848,0.0003,1.7575993913579049,2.6331210136413574,0,0,0.7766242027282715
10,11.034987449645996,0.0003,1.776540119700419,2.624256134033203,0,0,8.694040060043335
20,11.001646995544434,0.0003,1.8547973861248697,2.692194700241089,0,0,16.987064123153687
30,11.00035285949707,0.0003,1.869332867448404,2.8505067825317383,0,0,25.831702947616577
40,11.102057456970215,0.0003,1.6684575534158954,2.8983566761016846,0,0,34.38282895088196
50,11.025450706481934,0.0003,1.6794560018282454,3.2380340099334717,0,0,42.29115605354309
60,10.80255126953125,0.0003,1.6946772684426452,2.7267746925354004,0,0,51.25932788848877
70,10.794319152832031,0.0003,1.5903749440769648,3.264390230178833,0,0,59.90879416465759
80,10.646003723144531,0.0003,1.7479066742682186,3.6686952114105225,0,0,69.5572919845581
90,10.712676048278809,0.0003,1.565432421985211,3.815228223800659,0,0,77.63294625282288
100,10.695196151733398,0.0003,1.7276543732125447,3.7840182781219482,0,0,85.16949391365051
110,10.638653755187988,0.0003,1.7483107231593458,3.975762367248535,0,0,93.60590195655823
120,10.579983711242676,0.0003,2.2241058448573074,4.058594226837158,0,0,101.79266715049744
130,10.666114807128906,0.0003,2.233348585366632,4.496119499206543,0,0,109.70450711250305
140,10.47020149230957,0.0003,2.8593077074770146,4.480287075042725,0,0,117.79546809196472
150,10.522225379943848,0.0003,2.7769674546551624,4.349433422088623,0,0,126.10936284065247
160,10.407811164855957,0.0003,2.269081636863752,4.936953067779541,0,0,134.01690101623535
170,10.321182250976562,0.0003,2.054834938474064,4.701354503631592,0,0,141.73272609710693
180,10.384076118469238,0.0003,2.726482860584833,4.74082612991333,0,0,150.0081479549408
190,10.418923377990723,0.0003,2.5432349936251395,5.150591850280762,0,0,158.29874801635742
200,10.409605026245117,0.0003,2.4925359370435753,5.044891834259033,0,0,166.32163095474243
210,10.375686645507812,0.0003,4.6183562924934,4.931748867034912,0,0,174.07488107681274
220,10.218762397766113,0.0003,2.78069613770808,5.025386333465576,0,0,182.57351183891296
230,10.346109390258789,0.0003,2.1180230917468825,5.462014198303223,0,0,190.51880288124084
240,10.230865478515625,0.0003,2.30450351085167,5.1061906814575195,0,0,198.33662509918213
250,10.277155876159668,0.0003,2.6601705957961004,5.372498989105225,0,0,206.1747591495514
260,10.267014503479004,0.0003,2.2945013183933254,5.469275951385498,0,0,214.56487798690796
270,10.235570907592773,0.0003,3.16393338078557,5.635091781616211,0,0,222.23206186294556
280,10.192886352539062,0.0003,2.887762868352399,5.276602745056152,0,0,230.22061800956726
290,10.210811614990234,0.0003,2.744927089102841,5.30998420715332,0,0,238.15001893043518
300,10.195732116699219,0.0003,3.603059805547577,5.50816535949707,0,0,246.41771912574768
1,11.044013977050781,0.0003,1.8117655105530746,2.843010663986206,0,0,0.8974189758300781
1,11.095212936401367,0.0003,2.004350241588174,2.8164894580841064,0,0,1.2519311904907227
1,11.05141544342041,0.0003,1.6892181286674908,2.3919551372528076,0,0,1.2877650260925293
10,11.033638000488281,0.0003,1.6488132604848638,2.5879132747650146,0,0,9.460560083389282
20,10.956929206848145,0.0003,1.6312000005259664,2.822030544281006,0,0,19.014453172683716
30,11.099899291992188,0.0003,1.6208966013368993,3.0251026153564453,0,0,28.81179189682007
40,11.072724342346191,0.0003,1.7606254229504619,2.8886842727661133,0,0,37.97985219955444
50,11.041693687438965,0.0003,1.6721566621460704,3.19058895111084,0,0,48.93289804458618
60,10.835124969482422,0.0003,1.627061431591087,2.677283525466919,0,0,58.207935094833374
70,10.760242462158203,0.0003,1.545336900930936,3.2462875843048096,0,0,68.29012513160706
80,10.571639060974121,0.0003,1.5965355300888568,3.5072999000549316,0,0,77.88046193122864
90,10.621723175048828,0.0003,1.5852226699626744,3.853583335876465,0,0,88.88742399215698
100,10.621384620666504,0.0003,1.6787277075995612,3.753366470336914,0,0,100.49604797363281
110,10.600401878356934,0.0003,1.8795113792357536,3.9121346473693848,0,0,111.75502610206604
120,10.530574798583984,0.0003,1.519532677868905,4.2299485206604,0,0,123.66652607917786
130,10.625410079956055,0.0003,2.156618286707975,4.550198554992676,0,0,133.53822016716003
140,10.542704582214355,0.0003,1.9260577952741231,4.448620796203613,0,0,143.90437626838684
150,10.596915245056152,0.0003,1.9687893591936565,4.455104827880859,0,0,153.06011509895325
160,10.351215362548828,0.0003,2.454732676771914,4.464606761932373,0,0,161.72341990470886
1,10.946464538574219,0.0003,1.9482458376766139,2.5611329078674316,0,0,1.2092087268829346
10,11.024177551269531,0.0003,1.6387110289250277,2.591087579727173,0,0,8.85344386100769
20,10.989053726196289,0.0003,1.7657810971935757,2.7602667808532715,0,0,17.13360095024109
30,11.008077621459961,0.0003,1.8283976870354635,2.81522798538208,0,0,25.507810831069946
40,11.044293403625488,0.0003,1.7797971484062438,3.0725796222686768,0,0,33.490455627441406
50,11.039551734924316,0.0003,1.6994435108909853,3.1532604694366455,0,0,41.505820751190186
60,10.796143531799316,0.0003,1.7057629356460682,2.6659727096557617,0,0,50.11591982841492
70,10.78391170501709,0.0003,1.5088576664878026,3.2630372047424316,0,0,58.45848274230957
80,10.7086763381958,0.0003,1.5069001225774783,3.677173137664795,0,0,66.49230170249939
90,10.701354026794434,0.0003,1.6052009170357708,3.8634979724884033,0,0,74.7945168018341
100,10.697998046875,0.0003,1.6100819302697258,3.9287760257720947,0,0,84.10502767562866
110,10.624706268310547,0.0003,1.577294302579476,3.9331119060516357,0,0,92.41109991073608
120,10.542997360229492,0.0003,2.100520972080361,4.051138401031494,0,0,101.44858694076538
130,10.587112426757812,0.0003,1.6718413193770132,4.405162334442139,0,0,111.48967981338501
140,10.599618911743164,0.0003,2.130075737850923,4.460883617401123,0,0,122.46567583084106
150,10.605634689331055,0.0003,1.8859603954633222,4.29427433013916,0,0,134.59788489341736
160,10.429543495178223,0.0003,2.0955430162128987,4.607784748077393,0,0,146.14251494407654
170,10.477248191833496,0.0003,2.7408350417529626,4.726293087005615,0,0,157.59811687469482
180,10.540024757385254,0.0003,2.991640202338674,4.972650051116943,0,0,167.95150184631348
190,10.53681755065918,0.0003,2.4091386950958054,4.601630687713623,0,0,180.56486678123474
200,10.467808723449707,0.0003,2.485740394551052,4.895157337188721,0,0,190.93134379386902
210,10.19701099395752,0.0003,2.411393281929202,5.133828163146973,0,0,200.50171494483948
220,10.364299774169922,0.0003,2.2865824213471395,5.367268085479736,0,0,209.63060665130615
230,10.327096939086914,0.0003,2.7772607706931405,4.9610676765441895,0,0,219.04635858535767
240,10.270384788513184,0.0003,2.3664850997872824,4.924574375152588,0,0,227.86650681495667
250,10.28670597076416,0.0003,2.49937132046551,5.477052688598633,0,0,237.0842387676239
260,10.164732933044434,0.0003,2.8007796318563662,5.288398265838623,0,0,245.85810780525208
270,10.25550365447998,0.0003,2.662842866902992,5.323200225830078,0,0,254.29016590118408
280,10.1978178024292,0.0003,2.416447673585299,6.293028831481934,0,0,263.634596824646
290,10.183344841003418,0.0003,3.1201388773748917,5.7282843589782715,0,0,272.5090277194977
300,10.033516883850098,0.0003,2.9086754909595416,5.483463287353516,0,0,281.1725597381592
1,10.892548561096191,0.0003,1.7678875789263926,2.5253970623016357,0,0,1.3437561988830566
10,10.986660957336426,0.0003,1.703949522524751,2.6549699306488037,0,0,9.811269998550415
20,11.065278053283691,0.0003,1.735249877675987,2.6800925731658936,0,0,18.617237091064453
30,11.029012680053711,0.0003,1.6673376027966562,3.0316286087036133,0,0,28.0973641872406
40,11.003865242004395,0.0003,1.9793589303157308,3.054226875305176,0,0,37.28840780258179
50,11.074545860290527,0.0003,1.713270602121678,3.19331693649292,0,0,45.99154281616211
60,10.672515869140625,0.0003,1.6177131379813514,2.719017744064331,0,0,55.08659219741821
70,10.693100929260254,0.0003,1.5607727172577253,3.2948153018951416,0,0,64.18445920944214
80,10.696155548095703,0.0003,1.509186454656703,3.6138675212860107,0,0,73.37760281562805
90,10.790372848510742,0.0003,1.5038939366018595,3.8095011711120605,0,0,83.48182702064514
100,10.741412162780762,0.0003,1.5542239342729776,3.641404628753662,0,0,94.46469902992249
110,10.65413761138916,0.0003,1.4969699112313632,4.097289562225342,0,0,105.01492214202881
120,10.596029281616211,0.0003,1.6694277595907308,4.099079608917236,0,0,115.65809488296509
130,10.471442222595215,0.0003,1.670753158601404,4.161696910858154,0,0,125.89007902145386
140,10.669657707214355,0.0003,2.023535520954439,4.291546821594238,0,0,136.65448904037476
150,10.583758354187012,0.0003,1.8132161979044683,4.414149284362793,0,0,147.7477560043335
160,10.455065727233887,0.0003,2.4174574482904188,4.730417728424072,0,0,157.86005902290344
170,10.451427459716797,0.0003,3.201999635691624,4.532533645629883,0,0,167.36462903022766
180,10.582544326782227,0.0003,2.0352991519024517,4.685734748840332,0,0,177.09982800483704
190,10.470641136169434,0.0003,2.1419992192471558,4.545863628387451,0,0,186.53325819969177
200,10.444427490234375,0.0003,2.2503481733814654,4.888415336608887,0,0,195.91952896118164
210,10.333553314208984,0.0003,2.0981152192639656,4.977922439575195,0,0,205.3035831451416
220,10.167819023132324,0.0003,2.60849859912483,5.233223915100098,0,0,214.79540991783142
230,10.284683227539062,0.0003,2.303695506225747,5.46492862701416,0,0,223.7569010257721
240,10.297342300415039,0.0003,2.881378518706428,4.858616352081299,0,0,232.2682340145111
250,10.305708885192871,0.0003,3.1723861458787046,5.513154029846191,0,0,241.5115249156952
260,10.297918319702148,0.0003,2.4620827947440143,5.234854698181152,0,0,250.50363898277283
270,10.231273651123047,0.0003,2.705088806044083,4.908421516418457,0,0,259.2041699886322
280,10.191864013671875,0.0003,2.3532980745068204,5.685445308685303,0,0,268.4523730278015
290,10.165253639221191,0.0003,2.620484498004319,5.685757160186768,0,0,278.2630560398102
300,10.22677230834961,0.0003,2.5699899039065475,5.662333011627197,0,0,288.43455815315247
0,10.987444877624512,1.947708724585698,2.7910189628601074
10,10.975387573242188,1.984564883888238,3.1199588775634766
20,10.953899383544922,1.7758241363210765,3.1613550186157227
30,10.832387924194336,1.7153361070280349,3.047424793243408
40,11.067142486572266,1.7942915084583952,3.388263702392578
50,10.963231086730957,2.2403317212790994,3.3196749687194824
60,10.687612533569336,1.6356584574741861,2.9096739292144775
70,10.661543846130371,1.3852379408341835,3.4991321563720703
80,10.725107192993164,1.4728974107831099,3.6516685485839844
90,10.733107566833496,1.6093309191599008,4.000668525695801
100,10.665549278259277,1.7335747672299417,4.005366802215576
110,10.53236198425293,1.6173874651954925,4.197985649108887
120,10.647513389587402,2.426249378057811,4.433053493499756
130,10.547123908996582,2.823213668221134,4.570553779602051
140,10.596017837524414,3.197476306337772,4.652914524078369
150,10.473587036132812,2.376130130985789,4.6128082275390625
160,10.376652717590332,1.7948666161876434,5.210227012634277
170,10.434724807739258,2.197529120103925,5.08117151260376
180,10.368037223815918,2.1205717624236504,5.119754791259766
190,10.347275733947754,2.388570122582344,5.356261253356934
200,10.217236518859863,3.089266142009367,5.011698246002197
210,10.385665893554688,2.3752076906322612,5.223467826843262
220,10.364105224609375,3.2399610770312552,5.186324119567871
230,10.403127670288086,2.1687986631458784,5.58432149887085
240,10.24980640411377,1.9714489981731196,5.66851282119751
250,10.274747848510742,2.5707822239433504,4.825145721435547
260,10.212888717651367,2.4330109023416906,5.890933513641357
270,10.134568214416504,2.662450971799684,5.274015426635742
280,10.084787368774414,2.665077903992189,5.797582149505615
290,10.252880096435547,2.8286739551845677,5.925837993621826
0,10.961270332336426,1.8958120797951747,2.869565725326538
10,11.044145584106445,1.8338356295725027,2.843731164932251
20,11.005436897277832,1.6456558555917553,3.0719189643859863
30,11.010499000549316,1.7290768865673458,3.096991539001465
40,11.113101959228516,1.502758910355727,3.36635422706604
50,10.860536575317383,1.8420526499256111,3.265897750854492
60,10.65896224975586,1.6096624699828466,2.9254369735717773
70,10.644424438476562,1.42314415679585,3.484921932220459
80,10.65511703491211,1.7094869080359956,3.747734785079956
90,10.661482810974121,1.4617071273995126,4.018978118896484
100,10.640316009521484,1.900491905334412,3.939972162246704
110,10.574040412902832,1.6101435833647586,4.323829650878906
120,10.561522483825684,2.2849646199008693,4.629208564758301
130,10.516605377197266,1.9135910733438493,4.651442527770996
140,10.486679077148438,1.948737362864022,4.406811714172363
150,10.294386863708496,2.76590844753739,4.806448936462402
160,10.362261772155762,1.8482978579716578,4.777757167816162
170,10.395340919494629,3.556614558541662,4.987852096557617
180,10.350448608398438,2.4397145636771542,5.007728576660156
190,10.374259948730469,2.20745737509977,5.207831382751465
200,10.260865211486816,1.8008053235559274,4.966440200805664
210,10.421029090881348,2.3940188250389682,5.040236949920654
220,10.350050926208496,2.542193167038022,5.694211959838867
230,10.260849952697754,2.0679197124323077,5.4072980880737305
240,10.231378555297852,2.483318751970582,5.260001182556152
250,10.298163414001465,2.58949978707904,5.110905170440674
260,10.255145072937012,2.452112446631506,5.67926549911499
270,10.07821273803711,2.7403155453859314,5.678035736083984
280,10.017190933227539,2.7380108553272002,5.554339408874512
290,10.072001457214355,2.7330422223887814,5.833621501922607
0,10.97414779663086,1.6968226095690382,2.863162040710449
10,10.996447563171387,1.7147401433970313,2.942878484725952
20,10.954447746276855,1.8106722489599933,3.2886645793914795
30,10.998442649841309,1.5802990086133606,3.0632944107055664
40,11.067553520202637,1.634294104280183,3.3261542320251465
50,10.743144035339355,2.3156602702565343,3.3086721897125244
60,10.788345336914062,1.7178180586406517,2.8207881450653076
70,10.589146614074707,1.5576984402468963,3.273831605911255
80,10.739409446716309,1.4700838711524058,3.7025959491729736
90,10.699828147888184,1.5449614284251705,3.930351495742798
100,10.644244194030762,1.6735891403391385,3.8185081481933594
110,10.480219841003418,2.3182078934674424,4.161725044250488
120,10.549715995788574,1.6252267051807217,4.402026653289795
130,10.575602531433105,2.1406321808253637,4.36306619644165
140,10.50245475769043,4.462223094393978,4.668252944946289
150,10.536343574523926,2.267900787681021,4.41965913772583
160,10.382716178894043,2.2627082095849453,4.700669288635254
170,10.529069900512695,2.073677759531554,4.773128032684326
180,10.425049781799316,1.945207607672997,4.793260097503662
190,10.433403968811035,1.9676422595363818,4.8747172355651855
200,10.397102355957031,2.675963877909096,4.997366905212402
210,10.327916145324707,2.3263868146184734,5.116042613983154
220,10.248255729675293,2.1038476129023334,5.063601016998291
230,10.26108455657959,2.0634493269041383,4.986331939697266
240,10.179779052734375,2.6745071302855536,5.589686870574951
250,10.268625259399414,2.4032240666577387,5.195463180541992
260,10.222038269042969,2.2796207266041035,5.588860511779785
270,10.247366905212402,2.893010461665964,5.861954212188721
280,10.145099639892578,2.502986807381413,6.247633457183838
290,10.23794174194336,2.7630625572043526,5.597968101501465
0,11.000954627990723,2.050631458838449,2.9584996700286865
10,11.0462064743042,1.9940984382388882,2.878811836242676
20,10.956319808959961,1.6320664506165046,2.973468542098999
30,10.933955192565918,1.8734703086280726,3.1014511585235596
40,11.032137870788574,1.4753575525708447,3.133392095565796
50,10.79610824584961,1.8413881421346643,3.2300972938537598
60,10.55372428894043,1.6713837665061893,2.9807286262512207
70,10.738842964172363,1.5117980861757443,3.33746337890625
80,10.559535026550293,1.5811485724379517,3.615854024887085
90,10.810432434082031,1.4375402028475674,3.849440097808838
100,10.460453033447266,1.6074815683892227,3.9186489582061768
110,10.446718215942383,1.668699200501092,4.225001335144043
120,10.433886528015137,1.7089883012953615,4.376068592071533
130,10.62521743774414,1.7355586182317342,4.836874008178711
140,10.530740737915039,1.6497428653369743,4.5476226806640625
150,10.356523513793945,2.1725333923551693,4.6090240478515625
160,10.440521240234375,2.315218745615496,5.017279624938965
170,10.438682556152344,2.4376101151000924,5.035111427307129
180,10.388439178466797,2.339092501667018,4.465176105499268
190,10.387655258178711,2.2949238718534266,5.093780517578125
200,10.204736709594727,2.1302147873165533,5.202828407287598
210,10.200864791870117,2.2019239859735293,5.145369052886963
220,10.299280166625977,2.6783802712555786,5.479244709014893
230,10.195975303649902,2.2679500233321592,5.160388469696045
240,10.230979919433594,2.3897818334597942,5.501348495483398
250,10.252265930175781,2.6453346244897524,4.852663993835449
260,10.174646377563477,2.4835495966953105,5.8520188331604
270,10.11363410949707,2.5065975432706713,5.43925142288208
280,10.0690336227417,2.7664429499960628,5.30409574508667
290,10.141032218933105,2.837515641539557,5.709392547607422
